Company Name,Country,Description,Profile URL
Formula Systems (1985) Ltd,Israel,"A subsidiary of multinational software company Asseco and parent company of Matrix IT and other subsidiaries that provide security systems and IT services to illegal Israeli settlements, the Israeli military, and the Israeli Ministry of Defense.",https://investigate.afsc.org/company/formula-sys-1985
G1 Secure Solutions Ltd,Israel,"One of Israel's largest private security firms and a former subsidiary of G4S. It provides security services and equipment to illegal Israeli settlements, the Israeli military, and the Israeli police and prison systems.",https://investigate.afsc.org/company/g1-secure-solutions
GE Aerospace,USA,"One of the world's largest weapons companies. It manufactures engines for multiple weapon systems that are routinely used in war crimes against Palestinian civilians and infrastructure for a power plant in the occupied Syrian Golan.",https://investigate.afsc.org/company/ge-aero
Genasys Inc,USA,"Genasys, formerly the Long Range Acoustic Device (LRAD) Corporation, specializes in manufacturing acoustic hailing systems. Its flagship product is used by police, military personnel, and immigration authorities in the US and abroad.",https://investigate.afsc.org/company/genasys
General Dynamics Corp,USA,"The fifth-largest military contractor in the world. It manufactures weapons that are used by the Israeli military against Palestinian civilians and surveillance technology that is used to monitor and surveil the U.S.–Mexico border and immigrant communities.",https://investigate.afsc.org/company/general-dynamics
Heidelberg Materials AG,Germany,"The world's largest cement producer and a leader in the production of aggregates. Operates quarries and manufacturing facilities in the occupied West Bank. Its products have been used to build and expand illegal settlements.",https://investigate.afsc.org/company/heidelberg-materials
Honeywell International Inc,USA,A US manufacturer of components that are integrated into multiple weapons systems used in war crimes.,https://investigate.afsc.org/company/honeywell
International Business Machines Corp,USA,"One of the largest IT companies in the world. It provides technologies to the Israeli military and operates Israel's discriminatory population registry.",https://investigate.afsc.org/company/ibm
Internet Gold-Golden Lines Ltd,Israel,"The parent company of B Communications, which has a controlling interest in Bezeq, Israel's largest telecommunications provider.",https://investigate.afsc.org/company/internet-gold-golden
Israel Discount Bank Ltd,Israel,"One of Israel's largest banks. Financed the construction of housing projects in multiple illegal settlements in the occupied Palestinian territory. Has branches in illegal settlements.",https://investigate.afsc.org/company/israel-discount-bank
Kardan NV,Netherlands,"A Dutch investment company that develops and manages assets and projects in real estate and water infrastructure. Through its subsidiary TAHAL Group, the company has carried out multiple projects in illegal Israeli settlements in the occupied Palestinian territory.",https://investigate.afsc.org/company/kardan
Kongsberg Gruppen ASA,Norway,"A Norwegian multinational company operating in the marine, weapons, aerospace, oil and gas, and utilities industries. Its subsidiary Kongsberg Defence & Aerospace owns 25% of Norwegian weapons manufacturer Nammo.",https://investigate.afsc.org/company/kongsberg-gruppen
L3Harris Technologies Inc,USA,"A US weapons manufacturer that provides phone tracking devices and other equipment to the Israeli military and US immigration authorities. It used to provide surveillance technologies for use along the US–Mexico border and at Israeli military checkpoints.",https://investigate.afsc.org/company/l3harris
Lapidoth Capital Ltd,Israel,"A large Israeli construction, infrastructure, and drilling company. Its subsidiaries Africa Israel and Danya Cebus are involved in several construction and infrastructure projects in illegal Israeli settlements in the occupied Palestinian territory.",https://investigate.afsc.org/company/lapidoth-capital
Leonardo SpA,Italy,An Italian weapons manufacturer that provides the Israeli Navy with warship guns.,https://investigate.afsc.org/company/leonardo
Lesico Ltd,Israel,An Israeli construction and development company that has provided services and infrastructure to illegal Israeli settlements and military checkpoints in the occupied West Bank.,https://investigate.afsc.org/company/lesico
LIG Nex1 Co Ltd,South Korea,An arms manufacturer that has provided the Israeli military with robotic dogs used in the Gaza genocide.,https://investigate.afsc.org/company/lig-nex1
